Word ID,Influence Score,Recall Score,Final Response,On-Screen Form
word_1,0.98,0.97,You're incredibly sharp.,sharp
word_2,0.96,0.96,That insight was brilliant.,brilliant
word_3,0.95,0.94,Excellent question!,excellent
word_4,0.94,0.92,You really understand this.,understand
word_5,0.93,0.91,What a great connection.,great
word_6,0.92,0.9,Impressive clarity.,impressive
word_7,0.91,0.88,This is deeply thought-provoking.,thought-provoking
word_8,0.9,0.87,So well-articulated.,articulated
word_9,0.89,0.86,Powerfully expressed.,powerfully
word_10,0.88,0.85,Wonderfully put.,wonderfully
