Date,Bucket,NATO country / location,Operator / aircraft / system,Event,What happened,Cause class,Status,Confidence,Source URL
2026-03-10,Civil passenger/system,United States,JetBlue / FAA,System outage,Nationwide JetBlue ground stop requested by airline; about 40 minutes; operations resumed.,Non-hostile technical/system,Resolved; detailed cause not disclosed,High,https://www.reuters.com/world/us/us-faa-issues-ground-stop-all-jetblue-planes-2026-03-10/
2026-06-09,Civil passenger/system,Italy / Germany,P-180 civilian aircraft / Italian Air Force,Loss of radio contact,German-origin P-180 lost radio contact; two Italian Eurofighters scrambled by NATO order; communications restored.,Communications loss,Resolved,High,https://www.aeronautica.difesa.it/en/news/difesa-scramble-per-due-eurofighter-dellaeronautica-militare-in-volo-per-identificare-un-velivolo-civile/
2026-06-27,Civil passenger/system,United States,Nashville / FAA,Commercial power outage,Commercial power outage at BNA prompted ground delay programme; Memphis Center assumed TRACON airspace.,Infrastructure/power,Resolved operationally,High,https://www.fly.faa.gov/adv/adv_otherdis?adv_date=06272026&advn=53
2026-07-27,Civil passenger/system,European network,EUROCONTROL Network Manager,Network Manager technical failure,Departure-slot/network-management technical failure delayed hundreds of European flights; backlog persisted after restoration.,Technical/system,Resolved operationally,Medium,https://www.airhelp.co.uk/flight-disruptions/eurocontrol-technical-failure-flight-delays-europe-27072026/
2026-07-28,Civil passenger/system,United States,American Airlines / FAA,Airline IT outage,"Nationwide ground stop for American and regional carriers; about 45 minutes; >1,100 delays and 221 cancellations reported that day.",Airline IT/connectivity,Resolved; root cause not publicly detailed,High,https://www.reuters.com/world/faa-issues-american-airlines-nationwide-ground-stop-over-it-outage-2026-07-28/
2026-08-12,Civil passenger/system,Spain,Barcelona-El Prat ATC tower,Electrical failure,Electrical failure in control tower halted take-offs/landings; main and backup power reportedly failed; cancellations and diversions.,Infrastructure/power,Resolved operationally,High,https://www.rtve.es/catalunya/noticies/20260812/avaria-torre-control-obliga-aturar-operativa-aeroport-prat/17189251.shtml
2026-08-27,Civil passenger/system,United Kingdom,London Luton ATC,ATC outage after lightning,Arrivals and departures suspended; diversions and knock-on delays.,Weather-triggered infrastructure/ATC,Resolved operationally,Medium,https://www.airhelp.com/en-int/flight-disruptions/lightning-strike-london-luton-atc-outage-27082026/
2026-08-31,Civil passenger/system,UK / France / Germany / Switzerland,Multiple ATC centres,CPDLC/datalink outage,"Multi-centre controller-pilot datalink disruption; reported 5,168 ATFM delay minutes.",Communications/datalink,Resolved operationally,Medium,
2026-09-08,Civil passenger/system,United Kingdom,NATS National Airspace System,Flight-data software defect,"Legacy software defect triggered nationwide restrictions; >2,000 cancellations and hundreds of thousands affected; NATS ruled out military intervention.",Software defect,Mitigation deployed; permanent fix/testing and independent review,High,https://www.nats.aero/news/nats-publishes-preliminary-report-on-technical-incident-of-8-september/
2026-09-21,Civil passenger/system,United Kingdom,NATS Prestwick,Connectivity/equipment failure,"Separate failure at Prestwick disrupted Scotland, Northern Ireland and northern England; 227 cancellations reported by late afternoon.",Connectivity/equipment,Resolved; stated unrelated to 8 Sep,High,https://www.reuters.com/world/uk/delays-uks-manchester-airport-over-air-traffic-control-failure-telegraph-reports-2026-09-21/
2026-03-12,Military non-hostile,United States,USAF KC-135,Crash in western Iraq,KC-135 crashed after incident involving two aircraft; six crew killed; CENTCOM said not friendly or hostile fire.,Non-hostile accident,Investigation/incident details limited,Medium,
2026-03-31,Military non-hostile,United States,USAF F-35A,"Training crash, Nevada",F-35A lost during training on Nevada Test and Training Range; pilot ejected with minor injuries.,Non-hostile training accident,Investigation,High,https://www.aerotime.aero/articles/usaf-f35-crash-north-of-creech-pilot-safe
2026-05-12,Military non-hostile,United States,USAF T-38 Talon,"Training crash, Alabama",T-38 crashed during routine training; both pilots ejected; fleet pause followed.,Non-hostile training accident,Investigation,High,
2026-05-17,Military non-hostile,United States,US Navy 2× EA-18G Growler,Mid-air collision,Two Growlers collided during airshow demonstration/training at Mountain Home; four crew ejected.,Non-hostile collision,Investigation,High,https://www.mountainhome.af.mil/News-Photos-Videos/Article-Display/Article/4495232/initial-press-release-mid-air-collision/
2026-05-26,Military non-hostile,United States,US Navy T-45C Goshawk,"Training crash, Mississippi",Trainer crashed; both crew ejected safely.,Non-hostile training accident,Investigation,High,
2026-06-03,Military non-hostile,United Kingdom,Royal Navy Merlin Mk4,"Night-training crash, Devon",Merlin Mk4 crashed during night training; three service personnel killed.,Non-hostile training accident,Service investigation,High,https://www.royalnavy.mod.uk/news/2026/june/04/20260604-royal-navy-mourns-the-loss-of-three-service-personnel-following-a-training-exercise
2026-06-13,Military non-hostile,United States,US Marine Corps F/A-18,"Training crash, Washington",Hornet crashed during routine training; pilot ejected; minor injuries reported.,Non-hostile training accident,Investigation,High,
2026-07-09,Military non-hostile,Greece,Hellenic Air Force F-16,Emergency belly landing,F-16 malfunctioned during training and made gear-up landing at Zakynthos; pilot survived.,Non-hostile malfunction,Investigation,High,https://www.ekathimerini.com/news/1309112/greek-f-16-jets-makes-emergency-landing-in-zakynthos/
2026-07-23,Military non-hostile,Czechia,Czech Armed Forces UH-1Y Venom,Helicopter crash,"Venom crashed at Náměšť nad Oslavou; one killed, four injured; H-1 fleet suspended.",Non-hostile accident,Investigation,High,https://www.reuters.com/business/aerospace-defense/czech-army-helicopter-with-five-troops-crashes-one-person-reported-dead-2026-07-23/
2026-07-27,Military non-hostile,United States,US Army UH-72 Lakota,"Helicopter crash, Alabama",Lakota crashed; three occupants survived; local report said apparent loss of power.,Possible power loss,Investigation,Medium,
2026-07-31,Military non-hostile,United States,US Marine Corps F-35B,Crash near MCAS Miramar,F-35B crashed; pilot ejected and received medical treatment.,Non-hostile accident,Investigation,High,
2026-08-12,Military non-hostile,Türkiye,Turkish Air Force F-16,"Training crash, Yalova",F-16 crashed during training; pilot ejected safely.,Non-hostile training accident,Investigation,High,https://www.reuters.com/world/f-16-aircraft-crashes-training-flight-turkey-defence-ministry-says-2026-08-12/
2026-08-12,Military non-hostile,United States,US Army AH-64E Apache,"Maintenance test-flight crash, Texas",Apache crashed on maintenance test flight; two soldiers killed; training flights temporarily stood down.,Non-hostile test-flight accident,Investigation,High,
2026-08-24,Military non-hostile,Hungary,Hungarian Air Force JAS 39 Gripen,Training crash near Szolnok,Gripen crashed during routine training; pilot ejected safely; cause unknown initially.,Non-hostile training accident,Investigation,High,https://apnews.com/article/2c426cb2ed8b85726c36971c84f23416
2026-09-17,Military non-hostile,United States,Air National Guard F-16,"Training crash, Michigan",F-16 crashed during training; pilot ejected; preliminary ATC audio suggested possible bird strike; hazardous-material response followed.,Possible bird strike,Investigation,High,https://apnews.com/article/c57560049adbe6145f99317b6459bf38
2026-09-22,Military non-hostile,United States / Germany,"USAF F-16, 52nd Fighter Wing",Crash at Spangdahlem,F-16 crashed on approach after routine four-ship training flight; pilot ejected and received medical care.,Non-hostile; cause unresolved,Investigation,High,https://www.airandspaceforces.com/f-16-crashes-in-germany-pilot-ejects/
2026-09-23,Military non-hostile,United Kingdom,RAF Hawk T2,"Crash at RAF Valley, Anglesey",RAF Hawk T2 crashed; both pilots ejected; minor injuries reported.,Non-hostile; cause unresolved,Investigation,High,https://news.sky.com/story/raf-training-aircraft-crashes-in-wales-two-pilots-injured-after-ejecting-13590919
2026-07-08,VIP aviation safety,United States / Türkiye / United Kingdom,President Donald Trump / presidential airlift,Protective aircraft switch,Trump was covertly moved to a C-32A during departure from NATO summit after intelligence on a credible missile threat; publicly identified Air Force One flew separately.,Credible external threat; no aircraft fault,Threat/protective operation later confirmed in reporting and by Trump,High,https://www.reuters.com/business/aerospace-defense/credible-missile-threat-led-secret-aircraft-switch-trump-source-says-2026-08-12/
2026-08-04,VIP aviation safety,United States,President Donald Trump / Marine One / DCA,Loss-of-separation / ATC safety incident,FAA/NTSB reviewed why required airport traffic stop was not implemented; Marine One carrying Trump came closer than permitted to a passenger aircraft.,ATC/procedural safety failure,Under investigation at reporting date,High,https://www.cbsnews.com/news/trump-marine-one-incident-national-airport/
2026-09-21,VIP aviation context only,United Kingdom / United States,Prime Minister Andy Burnham flight to New York,Temporal overlap only,Burnham flew to New York during the period of the separate NATS Prestwick disruption. No reliable evidence found that his aircraft itself suffered a safety or technical incident.,No incident established,Do not count as incident without further evidence,High,https://www.reuters.com/world/uk/uks-burnham-heads-us-with-pragmatism-mind-trump-meeting-2026-09-21/
2026-03-19,Comparator: direct hostile fire,United States,USAF F-35A,Combat damage over Iran,F-35A damaged by ground fire during combat mission over Iran; emergency landing; pilot injured.,Hostile fire,Excluded from non-hostile count,High,https://www.airandspaceforces.com/f-35a-lands-after-taking-fire-over-iran-pilot-stable/
2026-04-01,Comparator: direct hostile fire,United States,USAF F-15E,Shot down in Iran war,F-15E lost to Iranian fire; crew recovery operation followed.,Hostile fire,Excluded from non-hostile count,High,https://www.theguardian.com/world/2026/apr/05/timeline-us-military-jets-shot-down
2026-04-03,Comparator: direct hostile fire,United States,USAF A-10,Shot down/damaged in Iran war,A-10 lost to Iranian fire; pilot reached Kuwaiti airspace and ejected.,Hostile fire,Excluded from non-hostile count,High,https://www.theguardian.com/world/2026/apr/05/timeline-us-military-jets-shot-down
