source_id,workstream,source_title_or_description,publisher_or_author,publication_date,source_type,url_or_identifier,used_for,recovery_status,recovery_basis,notes
SRC-001,CJP / NEET,Press Communique 35,President of India,2026-07,Official communique,https://www.presidentofindia.gov.in/press_releases/press-communique-35,Dharmendra Pradhan resignation and portfolio change,Exact URL recovered,Recent conversation citation,Primary official record.
SRC-002,CJP / NEET,Report on CJP ending its Jantar Mantar protest after resignation and assurances,India Today,2026-07,News report,,End of protest and government assurances,Named source; URL not recovered,Recent conversation citation,Exact headline and URL should be backfilled.
SRC-003,CJP / NEET,Report on ‘resignation party’ videos and Saurav Das response,Hindustan Times,2026-07,News report,,Movement response after resignation,Named source; URL not recovered,Recent conversation citation,
SRC-004,CJP / NEET,Report on Meghnad S allegation that protesters were abandoned or left without food,India Today,2026-07,News report,,Disputed account of treatment of protesters,Named source; URL not recovered,Recent conversation citation,"Preserve as allegation, not established fact."
SRC-005,CJP / NEET,Report on party videos with independent-verification caveat,The Statesman,2026-07,News report,,Verification limits around party footage,Named source; URL not recovered,Recent conversation citation,
SRC-006,CJP / NEET,Resignation report reproducing Dharmendra Pradhan statement,India Today,2026-07,News report,,Text and framing of resignation statement,Named source; URL not recovered,Recent conversation citation,
SRC-007,CJP / NEET,Report on bill following CJP protests,Associated Press,2026-07-27,News report,,Legislative response after protests,Named source; URL not recovered,Recent conversation citation,Exact bill title should be backfilled from the cited article.
SRC-008,CJP / NEET,NEET 2026 examination report,Reuters,2026-05-03,Wire report,,"NEET date, scale and immediate context",Named source; URL not recovered,Recent conversation citation,
SRC-009,CJP / NEET,NEET cancellation following paper-leak scandal,Reuters,2026-05-12,Wire report,,Cancellation chronology,Named source; URL not recovered,Recent conversation citation,
SRC-010,CJP / NEET,"Government–movement talks, resignation and compensation reporting",Reuters,2026-07-24/25,Wire report,,Negotiation and concession chronology,Named source; URL not recovered,Recent conversation citation,May represent more than one Reuters item.
SRC-011,CJP / NEET,Government task-force report,Reuters,2026-07-26,Wire report,,Post-protest institutional response,Named source; URL not recovered,Recent conversation citation,
SRC-012,CJP / NEET,Jantar Mantar mobilisation report,India Today,2026-06-06,News report,,First major street mobilisation,Named source; URL not recovered,Recent conversation citation,
SRC-013,CJP / NEET,"20 July march and broadening to NEET, CBSE, CUET and SSC",India Today,2026-07-20,News report,,Expansion of movement grievances,Named source; URL not recovered,Recent conversation citation,
SRC-014,CJP / NEET,CJP launch and cockroach remark report,The Indian Express,2026-05,News report,,"Launch chronology, organisers and reclaimed insult",Named source; URL not recovered,Recent conversation citation,
SRC-015,CJP / NEET,Five-demand CJP charter,Cockroach Janta Party,2026-07-15,Movement primary source,,Formal demands and exact charter language,Primary source named; URL not recovered,Recent conversation citation,Archive the exact authorised copy when recovered.
SRC-016,CJP / NEET,"Open letter, ₹1 crore demand and reported eleven deaths",Hindustan Times,2026-06-19,News report,,Movement claims on compensation and deaths,Named source; URL not recovered,Recent conversation citation,Eleven-deaths figure requires primary verification.
SRC-017,CJP / NEET,‘Cockroaches’ protest coverage,Dawn,2026,News report,,Movement language and slogans,Named source; URL not recovered,Recent conversation citation,
SRC-018,CJP / NEET,CJP protest coverage,VPM,2026,News report,,Slogan and movement-language checks,Named source; URL not recovered,Recent conversation citation,Publisher abbreviation needs expansion.
SRC-019,CJP / NEET,CJP / NEET protest coverage,Al Jazeera,2026,News report,,Movement and international coverage,Named source; URL not recovered,Recent conversation citation,
SRC-020,CJP / NEET,CJP protest coverage,ThePrint,2026,News report,,Movement language and actors,Named source; URL not recovered,Recent conversation citation,
SRC-021,CJP / NEET,CJP protest coverage,The Week,2026,News report,,Movement chronology and slogans,Named source; URL not recovered,Recent conversation citation,
SRC-022,CJP / NEET,CJP protest coverage,The Economic Times,2026,News report,,Movement chronology and slogans,Named source; URL not recovered,Recent conversation citation,
SRC-023,CJP / Wangchuk,Indian activist Wangchuk ends 26-day hunger strike,Reuters,2026-07-23,Wire report,https://www.reuters.com/world/indian-activist-wangchuk-ends-26-day-hunger-strike-2026-07-23/,28 June–23 July hunger-strike chronology,Exact URL recovered,Current conversation citation,
SRC-024,CJP / Wangchuk,‘Don’t let Funsukh Wangdu die’: Omi Vaidya backs Sonam Wangchuk amid hunger strike,India Today,2026-07-14,News report,https://www.indiatoday.in/movies/celebrities/story/dont-let-funsukh-wangdu-die-omi-vaidya-backs-sonam-wangchuk-amid-hunger-strike-2947291-2026-07-14,Omi Vaidya appeal and cultural callback,Exact URL recovered,Current conversation citation,Headline spelling retained from URL.
SRC-025,CJP / Wangchuk,Aamir Khan says 3 Idiots not based on Sonam Wangchuk,NDTV,2026,News report,https://www.ndtv.com/india-news/aamir-khan-says-3-idiots-not-based-on-sonam-wangchuk-didnt-know-him-chautur-omi-vaidya-11782666,Disputed Phunsukh Wangdu attribution,Exact URL recovered,Current conversation citation,
SRC-026,CJP / Wangchuk,Aamir Khan: 3 Idiots not based on Sonam Wangchuk,The Economic Times,2026,News report,https://m.economictimes.com/news/politics-and-nation/aamir-khan-3-idiots-not-based-on-sonam-wangchuk/articleshow/132453619.cms,Attribution caveat,Exact URL recovered,Current conversation citation,
